Model,MSE,R-squared
LinearReg,0.8283428932668179,0.7886011741531189
XGBoost,0.30233839142568814,0.9228411549427782
Random Forest,0.3016903627852517,0.9230065363262813
MLP-ANN,0.3601806309688224,0.9080794160262424
